feature,importance_mean,importance_std
MomentumTermSpread_10_5,0.02264614277670744,0.0007321425358156059
MomentumTermSpread_60_20,0.015405241692643235,0.001037674228811214
PositionChange_10_5,0.015362245111432324,0.0003953757504630537
MomentumTermSpread_20_5,0.015041721728350424,0.0012011273486671869
PositionChange_180_5,0.010623035929153776,0.0005922545520314628
PositionChange_60_5,0.008935616257505127,0.0006427906531600085
PositionChange_20_5,0.006775906395631193,0.0016500297630849929
SencondMomentum_20_180_10,0.006591416840447395,0.00015482024427817864
MomentumTermSpread_60_5,0.005989598355153595,0.0003198278325707343
SencondMomentum_5_20_10,0.005479100055295875,0.00038784012453250993
VolumeAmplitudeCoMovement_20,0.005161478948511229,0.0006910463186122751
SencondMomentum_20_60_10,0.005088127704616197,0.0003602724361416884
SencondMomentum_20_5_60,0.0050100019078854014,0.0002561369422055615
MomentumTermSpread_120_60,0.004551792089646105,0.00027860196292303987
SencondMomentum_5_60_10,0.004425835339784727,0.00035205618490713437
SencondMomentum_10_180_5,0.004076819340579907,0.0004910286481004222
SencondMomentum_10_60_20,0.0040464852636469635,0.0005528870139402136
MomentumTermSpread_120_10,0.0034915096416372102,0.0005815173926763345
SencondMomentum_20_180_5,0.003316705466490507,0.0002904475204842376
SencondMomentum_20_5_10,0.003222375348512626,0.0003490079066973449
