trade_date,net_ret_raw,gate_signal,exposure,net_ret_filtered
2021-01-04,0.017886662757496168,,1.0,0.017886662757496168
2021-01-05,0.005138414979991598,,1.0,0.005138414979991598
2021-01-06,0.013194350245910268,,1.0,0.013194350245910268
2021-01-07,-0.010492493992887564,,1.0,-0.010492493992887564
2021-01-08,-0.02210740509254797,,1.0,-0.02210740509254797
2021-01-11,0.035327049340918334,,1.0,0.035327049340918334
2021-01-12,-0.022689315868772993,,1.0,-0.022689315868772993
2021-01-13,-0.019917427251223897,,1.0,-0.019917427251223897
2021-01-14,0.0006236871397131511,,1.0,0.0006236871397131511
2021-01-15,0.007111983093832508,,1.0,0.007111983093832508
2021-01-18,-0.017094309025116106,,1.0,-0.017094309025116106
2021-01-19,0.025071832438596016,,1.0,0.025071832438596016
2021-01-20,0.020066207203176332,,1.0,0.020066207203176332
2021-01-21,0.025101908384631333,,1.0,0.025101908384631333
2021-01-22,1.902924427618028e-05,,1.0,1.902924427618028e-05
2021-01-25,-0.026078183238752082,,1.0,-0.026078183238752082
2021-01-26,-0.009197786653973817,,1.0,-0.009197786653973817
2021-01-27,-0.009797575969373746,,1.0,-0.009797575969373746
2021-01-28,-0.006012430073930272,,1.0,-0.006012430073930272
2021-01-29,0.0036253868669696926,,1.0,0.0036253868669696926
2021-02-01,0.004265964525793607,,1.0,0.004265964525793607
2021-02-02,-0.019446360903271877,,1.0,-0.019446360903271877
2021-02-03,-0.0018767178867026965,,1.0,-0.0018767178867026965
2021-02-04,-0.016290095525511434,,1.0,-0.016290095525511434
2021-02-05,0.008670795621244145,,1.0,0.008670795621244145
2021-02-08,0.03850419175322636,,1.0,0.03850419175322636
2021-02-09,0.036895399892259595,,1.0,0.036895399892259595
2021-02-10,-0.026750615374116493,,1.0,-0.026750615374116493
2021-02-18,0.007117768203374455,,1.0,0.007117768203374455
2021-02-19,-0.029875166079872707,,1.0,-0.029875166079872707
2021-02-22,0.004897386365357074,,1.0,0.004897386365357074
2021-02-23,-0.02384250267835272,,1.0,-0.02384250267835272
2021-02-24,-0.020022130600843287,,1.0,-0.020022130600843287
2021-02-25,-0.00335496247467194,,1.0,-0.00335496247467194
2021-02-26,0.02707482849825956,,1.0,0.02707482849825956
2021-03-01,-0.014674527773382493,,1.0,-0.014674527773382493
2021-03-02,0.005987070154622305,,1.0,0.005987070154622305
2021-03-03,-0.03710801898564311,,0.5,-0.019054009492821555
2021-03-04,0.016674309921018017,,1.0,0.016174309921018017
2021-03-05,-0.03722941519666728,,0.5,-0.01911470759833364
2021-03-08,-0.011121618781086098,,0.5,-0.005560809390543049
2021-03-09,-0.00579398105796296,,0.5,-0.00289699052898148
2021-03-10,0.024383846723126858,,0.5,0.012191923361563429
2021-03-11,0.0024026254360114503,,0.5,0.0012013127180057251
2021-03-12,-0.016218226033238504,,0.5,-0.008109113016619252
2021-03-15,0.0031930601205700723,,0.5,0.0015965300602850362
2021-03-16,0.003952371116814271,,0.5,0.0019761855584071353
2021-03-17,-0.003412248506890367,,0.5,-0.0017061242534451835
2021-03-18,-0.009482115488156556,,0.5,-0.004741057744078278
2021-03-19,0.015657174154877412,,0.5,0.007828587077438706
2021-03-22,-0.01033387758269621,,0.5,-0.005166938791348105
2021-03-23,-0.01068219755198568,,0.5,-0.00534109877599284
2021-03-24,0.003347048036931272,,0.5,0.001673524018465636
2021-03-25,0.013906997206806328,,0.5,0.006953498603403164
2021-03-26,-0.0031753282474593957,,0.5,-0.0015876641237296978
2021-03-29,0.010170476670156773,,0.5,0.005085238335078387
2021-03-30,-0.0014090819515412455,,0.5,-0.0007045409757706227
2021-03-31,0.004081537995659391,,0.5,0.0020407689978296957
2021-04-01,0.015418164941782327,,0.5,0.007709082470891164
2021-04-02,-0.0007549894769957751,,0.5,-0.00037749473849788755
2021-04-06,-0.007941294879943635,,0.5,-0.0039706474399718176
2021-04-07,0.0043638190470413705,,0.5,0.0021819095235206852
2021-04-08,-0.014451327934000967,,0.5,-0.007225663967000483
2021-04-09,-0.03066703671687649,,0.5,-0.015333518358438245
2021-04-12,0.003452847925791966,,0.5,0.001726423962895983
2021-04-13,0.016238402555794257,,0.5,0.008119201277897128
2021-04-14,0.010175130483465558,,0.5,0.005087565241732779
2021-04-15,-0.004071029123590588,,0.5,-0.002035514561795294
2021-04-16,0.02981425288444245,,0.5,0.014907126442221225
2021-04-19,-0.006365805258844444,,0.5,-0.003182902629422222
2021-04-20,0.007054695975092647,,1.0,0.0065546959750926465
2021-04-21,-0.0034277792681505484,,0.5,-0.002213889634075274
2021-04-22,0.014152783303852293,,1.0,0.013652783303852292
2021-04-23,-0.0049540194521859055,,1.0,-0.0049540194521859055
2021-04-26,-0.00639675622102984,,0.5,-0.00369837811051492
2021-04-27,0.017048264842793398,,1.0,0.016548264842793398
2021-04-28,-0.004612994975300417,,1.0,-0.004612994975300417
2021-04-29,0.004623754098421263,,1.0,0.004623754098421263
2021-04-30,0.002655632290484381,,1.0,0.002655632290484381
2021-05-06,-0.007104049508151281,,1.0,-0.007104049508151281
2021-05-07,-0.012091257026377774,,0.5,-0.006545628513188887
2021-05-10,0.001898331286867542,,1.0,0.001398331286867542
2021-05-11,-0.00014781651727071156,,1.0,-0.00014781651727071156
2021-05-12,-0.004633358297127027,,0.5,-0.0028166791485635134
2021-05-13,0.017562035621788173,,1.0,0.017062035621788173
2021-05-14,0.015810339225136836,,1.0,0.015810339225136836
2021-05-17,-0.005053368251625355,,1.0,-0.005053368251625355
2021-05-18,-0.0029424607274865957,,1.0,-0.0029424607274865957
2021-05-19,-0.0004322973843070443,,1.0,-0.0004322973843070443
2021-05-20,-0.004759045400384677,,1.0,-0.004759045400384677
2021-05-21,0.008258674886926633,,1.0,0.008258674886926633
2021-05-24,0.020803707798785855,,1.0,0.020803707798785855
2021-05-25,-0.0010866936618880866,,1.0,-0.0010866936618880866
2021-05-26,0.021569176286770724,,1.0,0.021569176286770724
2021-05-27,0.006522802027870082,,1.0,0.006522802027870082
2021-05-28,0.01373281565644242,,1.0,0.01373281565644242
2021-05-31,0.005456397687014631,,1.0,0.005456397687014631
2021-06-01,-0.015857509326711525,,1.0,-0.015857509326711525
2021-06-02,-0.008438562785975993,,1.0,-0.008438562785975993
2021-06-03,0.011491080846513783,,1.0,0.011491080846513783
2021-06-04,-0.0052247235813792075,,1.0,-0.0052247235813792075
2021-06-07,-0.006132911069627871,,1.0,-0.006132911069627871
2021-06-08,0.0027287538063899405,,1.0,0.0027287538063899405
2021-06-09,0.02519866995392396,,1.0,0.02519866995392396
2021-06-10,0.0046686875535114055,,1.0,0.0046686875535114055
2021-06-11,-0.012493621344530883,,1.0,-0.012493621344530883
2021-06-15,-0.030184841218631353,,1.0,-0.030184841218631353
2021-06-16,0.016590931531641324,,1.0,0.016590931531641324
2021-06-17,0.018169035555944762,,1.0,0.018169035555944762
2021-06-18,0.013128253148265493,,1.0,0.013128253148265493
2021-06-21,0.01393301800014203,,1.0,0.01393301800014203
2021-06-22,0.008131171765238867,,1.0,0.008131171765238867
2021-06-23,-0.003247472868069881,,1.0,-0.003247472868069881
2021-06-24,0.01307491912725391,,1.0,0.01307491912725391
2021-06-25,0.016862405574664792,,1.0,0.016862405574664792
2021-06-28,-0.0042351009298379995,,1.0,-0.0042351009298379995
2021-06-29,0.01325761184349036,,1.0,0.01325761184349036
2021-06-30,-0.008885363079581985,,1.0,-0.008885363079581985
2021-07-01,-0.0071416979709336805,,1.0,-0.0071416979709336805
