trade_date,ic
2021-01-04,0.3558765615531127
2021-01-05,-0.06620342516885226
2021-01-06,-0.12289341286105337
2021-01-07,0.3501668769261607
2021-01-08,0.2515592515592516
2021-01-11,0.10034469566915295
2021-01-12,0.02637050005471058
2021-01-13,-0.6565628942365513
2021-01-14,0.03052850421271474
2021-01-15,0.19007495788148165
2021-01-18,0.34285401619610417
2021-01-19,-0.07747866053841103
2021-01-20,-0.4329795382426961
2021-01-21,-0.5373967289326174
2021-01-22,-0.15089178247072985
2021-01-25,0.027466214408895736
2021-01-26,0.3345370978332239
2021-01-27,-0.13754240070029544
2021-01-28,-0.5723820986978881
2021-01-29,0.3303605629500248
2021-02-01,0.014447546099880932
2021-02-02,0.24225508616918792
2021-02-03,-0.059650853215417486
2021-02-04,-0.12550607287449392
2021-02-05,-0.13732355837618995
2021-02-08,-0.06631648102742506
2021-02-09,0.00459594025965586
2021-02-10,0.09685892756938523
2021-02-18,0.17315165098493662
2021-02-19,-0.05439422260111239
2021-02-22,0.11293499671700591
2021-02-23,-0.356404224421408
2021-02-24,0.13109372454923143
2021-02-25,-0.2675933083696575
2021-02-26,-0.3533209322683007
2021-03-01,0.2795710690447533
2021-03-02,0.471495787285261
2021-03-03,0.19445204384305864
2021-03-04,0.006346774644286663
2021-03-05,-0.06050990261516577
2021-03-08,0.043114296721533545
2021-03-09,0.3004869512622617
2021-03-10,-0.10811402325095214
2021-03-11,0.10165782145762604
2021-03-12,0.4005908742750848
2021-03-15,-0.012364591311959734
2021-03-16,0.30167414377940693
2021-03-17,-0.019323098842550648
2021-03-18,0.14909004709342905
2021-03-19,0.14969633988593373
2021-03-22,-0.17705312714579005
2021-03-23,-0.24030201929057785
2021-03-24,0.0970954356846473
2021-03-25,-0.07373162636320531
2021-03-26,0.08480140059087428
2021-03-29,0.270533516136894
2021-03-30,0.01783564941459678
2021-03-31,-0.0918043549622497
2021-04-01,-0.020899441952073532
2021-04-02,0.5645346618943948
2021-04-06,0.2471824050771419
2021-04-07,-0.0027361278974402607
2021-04-08,0.18087318087318088
2021-04-09,0.36426304847357477
2021-04-12,-0.38616840896013166
2021-04-13,0.0022978444031075606
