trade_date,gross_ret,net_ret,turnover,rebalanced,holdings,weights
2021-02-22,0.004897386365357074,0.004897386365357074,0.0,0,"515790.SH,512660.SH,159944.SZ,159909.SZ,159915.SZ","0.1517,0.1529,0.2740,0.2086,0.2129"
2021-02-23,-0.02384250267835272,-0.02384250267835272,0.0,0,"515790.SH,512660.SH,159944.SZ,159909.SZ,159915.SZ","0.1517,0.1529,0.2740,0.2086,0.2129"
2021-02-24,-0.020022130600843287,-0.020022130600843287,0.0,0,"515790.SH,512660.SH,159944.SZ,159909.SZ,159915.SZ","0.1517,0.1529,0.2740,0.2086,0.2129"
2021-02-25,-0.00335496247467194,-0.00335496247467194,0.0,0,"515790.SH,512660.SH,159944.SZ,159909.SZ,159915.SZ","0.1517,0.1529,0.2740,0.2086,0.2129"
2021-02-26,0.02707482849825956,0.02707482849825956,0.0,0,"515790.SH,512660.SH,159944.SZ,159909.SZ,159915.SZ","0.1517,0.1529,0.2740,0.2086,0.2129"
2021-03-01,-0.013074527773382492,-0.014674527773382493,1.6,1,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-02,0.005987070154622305,0.005987070154622305,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-03,-0.03710801898564311,-0.03710801898564311,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-04,0.016674309921018017,0.016674309921018017,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-05,-0.03722941519666728,-0.03722941519666728,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-08,-0.011121618781086098,-0.011121618781086098,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-09,-0.00579398105796296,-0.00579398105796296,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-10,0.024383846723126858,0.024383846723126858,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-11,0.0024026254360114503,0.0024026254360114503,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-12,-0.016218226033238504,-0.016218226033238504,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-15,0.0031930601205700723,0.0031930601205700723,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-16,0.003952371116814271,0.003952371116814271,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-17,-0.003412248506890367,-0.003412248506890367,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-18,-0.009482115488156556,-0.009482115488156556,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-19,0.015657174154877412,0.015657174154877412,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-22,-0.01033387758269621,-0.01033387758269621,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-23,-0.01068219755198568,-0.01068219755198568,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-24,0.003347048036931272,0.003347048036931272,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-25,0.013906997206806328,0.013906997206806328,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-26,-0.0031753282474593957,-0.0031753282474593957,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-29,0.010170476670156773,0.010170476670156773,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-30,-0.0014090819515412455,-0.0014090819515412455,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-03-31,0.004081537995659391,0.004081537995659391,0.0,0,"512700.SH,159827.SZ,512880.SH,515790.SH,512580.SH","0.2346,0.2045,0.2424,0.1572,0.1613"
2021-04-01,0.017018164941782328,0.015418164941782327,1.6,1,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-02,-0.0007549894769957751,-0.0007549894769957751,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-06,-0.007941294879943635,-0.007941294879943635,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-07,0.0043638190470413705,0.0043638190470413705,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-08,-0.014451327934000967,-0.014451327934000967,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-09,-0.03066703671687649,-0.03066703671687649,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-12,0.003452847925791966,0.003452847925791966,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-13,0.016238402555794257,0.016238402555794257,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-14,0.010175130483465558,0.010175130483465558,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-15,-0.004071029123590588,-0.004071029123590588,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-16,0.02981425288444245,0.02981425288444245,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-19,-0.006365805258844444,-0.006365805258844444,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-20,0.007054695975092647,0.007054695975092647,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-21,-0.0034277792681505484,-0.0034277792681505484,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-22,0.014152783303852293,0.014152783303852293,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-23,-0.0049540194521859055,-0.0049540194521859055,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-26,-0.00639675622102984,-0.00639675622102984,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-27,0.017048264842793398,0.017048264842793398,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-28,-0.004612994975300417,-0.004612994975300417,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-29,0.004623754098421263,0.004623754098421263,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-04-30,0.002655632290484381,0.002655632290484381,0.0,0,"515700.SH,515790.SH,512400.SH,512660.SH,588000.SH","0.1730,0.1887,0.1800,0.1891,0.2691"
2021-05-06,-0.005904049508151281,-0.007104049508151281,1.2,1,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-07,-0.012091257026377774,-0.012091257026377774,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-10,0.001898331286867542,0.001898331286867542,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-11,-0.00014781651727071156,-0.00014781651727071156,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-12,-0.004633358297127027,-0.004633358297127027,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-13,0.017562035621788173,0.017562035621788173,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-14,0.015810339225136836,0.015810339225136836,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-17,-0.005053368251625355,-0.005053368251625355,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-18,-0.0029424607274865957,-0.0029424607274865957,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-19,-0.0004322973843070443,-0.0004322973843070443,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-20,-0.004759045400384677,-0.004759045400384677,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-21,0.008258674886926633,0.008258674886926633,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-24,0.020803707798785855,0.020803707798785855,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
2021-05-25,-0.0010866936618880866,-0.0010866936618880866,0.0,0,"159886.SZ,512660.SH,515220.SH,512400.SH,512480.SH","0.1929,0.2127,0.1379,0.1732,0.2833"
