调仓日,月均仓位,持仓与权重
2023-05-04,0%,国联安中证全指半导体产品与设备ETF:9.2%; 银华中证基建ETF:17.9%; 招商上证消费80ETF:33.5%; 富国中证智能汽车主题ETF:15.8%; 博时国证龙头家电ETF:23.7%
2023-06-01,0%,广发中证全指电力公用事业ETF:13.5%; 博时国证龙头家电ETF:17.9%; 南方国证交通运输行业ETF:30.0%; 招商上证消费80ETF:22.9%; 银华中证基建ETF:15.8%
2023-07-03,0%,华泰柏瑞中证光伏产业ETF:17.8%; 博时国证龙头家电ETF:20.1%; 广发中证全指电力公用事业ETF:23.6%; 国泰中证军工ETF:23.2%; 富国中证智能汽车主题ETF:15.4%
2023-08-01,0%,国泰中证全指证券公司ETF:10.0%; 南方中证全指房地产ETF:12.3%; 南方中证银行ETF:23.5%; 招商上证消费80ETF:23.4%; 南方国证交通运输行业ETF:30.9%
2023-09-01,0%,南方中证全指房地产ETF:14.8%; 国泰中证全指证券公司ETF:17.5%; 汇添富中证能源ETF:27.8%; 国泰中证煤炭ETF:19.8%; 景顺长城中证科技传媒通信150ETF:20.1%
2023-10-09,0%,汇添富中证能源ETF:17.8%; 国泰中证煤炭ETF:14.8%; 南方中证全指房地产ETF:17.0%; 南方中证银行ETF:31.4%; 招商上证消费80ETF:18.9%
2023-11-01,0%,华泰柏瑞中证光伏产业ETF:16.1%; 国联安中证全指半导体产品与设备ETF:16.7%; 富国中证智能汽车主题ETF:21.2%; 银华中证基建ETF:20.8%; 南方中证全指房地产ETF:25.2%
2023-12-01,0%,南方中证全指房地产ETF:11.0%; 国泰中证煤炭ETF:14.9%; 银华中证农业主题ETF:28.8%; 汇添富中证能源ETF:17.5%; 国寿安保中证500ETF:27.8%
2024-01-02,0%,广发中证全指原材料ETF:25.1%; 南方中证申万有色金属ETF:18.4%; 招商上证消费80ETF:22.5%; 国泰中证全指证券公司ETF:20.4%; 华安创业板50ETF:13.7%
2024-02-01,13%,国联安中证全指半导体产品与设备ETF:15.6%; 广发中证全指信息技术ETF:15.7%; 国泰中证军工ETF:14.8%; 南方中证银行ETF:36.5%; 万家创业板综合ETF:17.4%
2024-03-01,25%,汇添富中证能源ETF:13.8%; 博时国证龙头家电ETF:19.3%; 广发中证全指电力公用事业ETF:20.6%; 华夏上证金融地产ETF:23.9%; 嘉实沪深300ETF:22.4%
2024-04-01,25%,国泰中证煤炭ETF:18.1%; 南方中证银行ETF:27.4%; 银华中证农业主题ETF:19.0%; 广发中证全指原材料ETF:21.6%; 广发中证环保产业ETF:14.0%
2024-05-06,29%,国联安中证全指半导体产品与设备ETF:18.5%; 南方中证全指房地产ETF:15.7%; 国泰中证全指证券公司ETF:22.0%; 国泰中证军工ETF:22.2%; 华泰柏瑞中证光伏产业ETF:21.5%
2024-06-03,25%,南方中证全指房地产ETF:9.1%; 银华中证农业主题ETF:26.1%; 华泰柏瑞中证光伏产业ETF:14.0%; 国泰中证煤炭ETF:19.3%; 南方中证银行ETF:31.5%
2024-07-01,15%,国联安中证全指半导体产品与设备ETF:14.6%; 博时国证龙头家电ETF:30.1%; 南方中证申万有色金属ETF:17.1%; 华泰柏瑞中证光伏产业ETF:18.0%; 万家创业板综合ETF:20.2%
2024-08-01,9%,广发中证全指电力公用事业ETF:23.7%; 南方中证银行ETF:27.3%; 汇添富中证能源ETF:19.2%; 广发中证全指原材料ETF:16.8%; 博时国证龙头家电ETF:13.0%
2024-09-02,18%,南方中证申万有色金属ETF:22.7%; 广发中证全指信息技术ETF:18.3%; 富国中证智能汽车主题ETF:16.6%; 国泰中证全指证券公司ETF:22.1%; 招商深证电子信息传媒产业(TMT)50ETF:20.3%
2024-10-08,47%,博时国证龙头家电ETF:19.1%; 南方国证交通运输行业ETF:23.7%; 广发中证环保产业ETF:14.2%; 广发中证全指电力公用事业ETF:25.6%; 银华中证农业主题ETF:17.5%
2024-11-01,81%,国联安中证全指半导体产品与设备ETF:18.2%; 国泰中证全指证券公司ETF:22.2%; 国泰中证军工ETF:20.8%; 华泰柏瑞中证光伏产业ETF:17.5%; 广发中证全指信息技术ETF:21.3%
2024-12-02,93%,南方中证银行ETF:25.0%; 南方国证交通运输行业ETF:29.8%; 博时国证龙头家电ETF:19.1%; 平安中证新能源汽车产业ETF:10.4%; 南方中证申万有色金属ETF:15.7%
2025-01-02,61%,南方中证全指房地产ETF:18.2%; 广发中证全指信息技术ETF:16.8%; 平安中证新能源汽车产业ETF:24.1%; 招商深证电子信息传媒产业(TMT)50ETF:20.0%; 易方达创业板ETF:20.9%
2025-02-05,100%,国泰中证全指证券公司ETF:18.0%; 南方中证全指房地产ETF:24.0%; 国联安中证全指半导体产品与设备ETF:15.7%; 华泰柏瑞中证光伏产业ETF:22.7%; 易方达创业板ETF:19.6%
2025-03-03,100%,富国中证智能汽车主题ETF:18.1%; 国联安中证全指半导体产品与设备ETF:17.9%; 广发中证全指信息技术ETF:19.4%; 招商深证电子信息传媒产业(TMT)50ETF:24.3%; 景顺长城中证科技传媒通信150ETF:20.3%
2025-04-01,45%,国泰中证全指证券公司ETF:20.0%; 国联安中证全指半导体产品与设备ETF:17.8%; 南方中证全指房地产ETF:21.8%; 华泰柏瑞中证光伏产业ETF:19.7%; 华安创业板50ETF:20.7%
2025-05-06,50%,富国中证智能汽车主题ETF:20.2%; 国联安中证全指半导体产品与设备ETF:21.2%; 平安中证新能源汽车产业ETF:22.4%; 南方中证申万有色金属ETF:21.1%; 易方达创业板200ETF:15.1%
2025-06-03,55%,南方中证银行ETF:24.0%; 国联安中证全指半导体产品与设备ETF:16.3%; 景顺长城中证科技传媒通信150ETF:15.4%; 汇添富中证能源ETF:28.9%; 广发中证全指信息技术ETF:15.4%
2025-07-01,98%,华夏上证金融地产ETF:24.8%; 南方中证银行ETF:22.4%; 景顺长城中证科技传媒通信150ETF:18.2%; 招商深证电子信息传媒产业(TMT)50ETF:21.6%; 国泰中证全指证券公司ETF:13.0%
2025-08-01,100%,华泰柏瑞中证光伏产业ETF:15.5%; 国泰中证煤炭ETF:12.3%; 国泰中证军工ETF:26.7%; 南方中证全指房地产ETF:19.8%; 广发中证环保产业ETF:25.7%
2025-09-01,100%,国泰中证全指证券公司ETF:16.3%; 富国中证智能汽车主题ETF:20.3%; 南方中证申万有色金属ETF:17.3%; 南方中证全指房地产ETF:20.9%; 广发中证全指原材料ETF:25.2%
2025-10-09,100%,广发中证环保产业ETF:23.9%; 广发中证全指信息技术ETF:17.2%; 富国中证细分机械设备产业主题ETF:23.7%; 招商深证电子信息传媒产业(TMT)50ETF:16.3%; 华夏上证科创板50成份ETF:19.0%
2025-11-03,100%,南方中证申万有色金属ETF:11.9%; 国泰中证煤炭ETF:21.3%; 国泰中证全指证券公司ETF:24.3%; 广发中证全指原材料ETF:16.9%; 国泰中证军工ETF:25.6%
2025-12-01,100%,南方中证申万有色金属ETF:18.4%; 华泰柏瑞中证光伏产业ETF:18.8%; 景顺长城中证科技传媒通信150ETF:22.9%; 招商深证电子信息传媒产业(TMT)50ETF:22.9%; 平安中证新能源汽车产业ETF:17.0%
2026-01-05,100%,华泰柏瑞中证光伏产业ETF:20.4%; 广发中证全指原材料ETF:21.3%; 国泰中证军工ETF:22.6%; 平安中证新能源汽车产业ETF:18.3%; 国联安中证全指半导体产品与设备ETF:17.3%
2026-02-02,100%,南方中证申万有色金属ETF:12.3%; 国联安中证全指半导体产品与设备ETF:20.7%; 广发中证全指原材料ETF:17.3%; 华泰柏瑞中证光伏产业ETF:19.6%; 嘉实中证500ETF:30.1%
2026-03-02,100%,汇添富中证能源ETF:16.2%; 国泰中证煤炭ETF:15.4%; 平安中证新能源汽车产业ETF:32.1%; 国联安中证全指半导体产品与设备ETF:21.9%; 广发中证全指原材料ETF:14.4%
2026-04-01,100%,广发中证全指电力公用事业ETF:19.5%; 广发中证全指原材料ETF:18.9%; 汇添富中证能源ETF:21.5%; 国泰中证煤炭ETF:18.1%; 华安创业板50ETF:22.1%
2026-05-06,100%,国联安中证全指半导体产品与设备ETF:18.0%; 广发中证全指信息技术ETF:20.1%; 广发中证全指原材料ETF:24.3%; 平安中证新能源汽车产业ETF:19.0%; 华夏上证科创板50成份ETF:18.6%
2026-06-01,98%,国联安中证全指半导体产品与设备ETF:15.8%; 广发中证全指信息技术ETF:21.1%; 景顺长城中证科技传媒通信150ETF:21.5%; 招商深证电子信息传媒产业(TMT)50ETF:24.3%; 华夏上证科创板50成份ETF:17.3%
2026-07-01,76%,招商深证电子信息传媒产业(TMT)50ETF:16.4%; 汇添富中证能源ETF:31.1%; 南方中证申万有色金属ETF:15.2%; 国泰中证全指证券公司ETF:19.6%; 南方中证科创创业50ETF:17.7%
2026-08-03,95%,国联安中证全指半导体产品与设备ETF:18.1%; 景顺长城中证科技传媒通信150ETF:19.6%; 招商深证电子信息传媒产业(TMT)50ETF:22.2%; 广发中证全指信息技术ETF:20.3%; 华夏上证科创板50成份ETF:19.8%
2026-09-01,56%,国泰中证煤炭ETF:28.7%; 国联安中证全指半导体产品与设备ETF:16.1%; 广发中证全指信息技术ETF:18.3%; 景顺长城中证科技传媒通信150ETF:17.5%; 华夏上证科创板50成份ETF:19.4%
